10,2.0,369.211426
11,2.0,529.629879
12,2.0,672.278586
13,2.0,765.943314
14,2.0,820.301504
15,2.0,977.9413
16,2.0,951.880856
17,2.0,943.419863
18,2.0,939.352095
19,2.0,931.75867
20,2.0,903.05921
21,2.0,864.214801
22,2.0,760.659662
23,2.0,731.696914
10,4.0,380.717323
11,4.0,658.784678
12,4.0,958.180068
13,4.0,1253.004704
14,4.0,1483.571095
15,4.0,1825.294257
16,4.0,1913.233936
17,4.0,1950.569469
18,4.0,1877.726626
19,4.0,1876.212159
20,4.0,1738.642853
21,4.0,1706.718348
22,4.0,1393.754418
23,4.0,1245.722187
10,6.0,330.3821
11,6.0,608.810425
12,6.0,935.356553
13,6.0,1273.688535
14,6.0,1779.145029
15,6.0,2211.184772
16,6.0,2476.37754
17,6.0,2648.42846
18,6.0,2456.408845
19,6.0,2544.015624
20,6.0,2397.970504
21,6.0,2324.601689
22,6.0,1711.760057
23,6.0,1387.495969
10,8.0,334.604878
11,8.0,574.757777
12,8.0,1037.764632
13,8.0,1679.284655
14,8.0,2335.039294
15,8.0,3021.674003
16,8.0,3404.390139
17,8.0,3628.377033
18,8.0,3741.028399
19,8.0,3501.890775
20,8.0,3428.064849
21,8.0,3123.300637
22,8.0,1885.582065
23,8.0,1449.152128
